dataset,hidden_layers,learning_rate,activation,optimizer,epochs,avg_f1_score
1_ef_b.csv,"[15, 15, 15, 15]",0.1,tanh,adam,10,0.8511513632566263
1_ef_b.csv,"[15, 15, 15, 15]",0.1,tanh,adam,25,0.8538913030536524
1_ef_b.csv,"[15, 15, 15, 15]",0.1,tanh,adam,50,0.833619843506544
1_ef_b.csv,"[15, 15, 15, 15]",0.1,tanh,sgd,10,0.4713608013608014
1_ef_b.csv,"[15, 15, 15, 15]",0.1,tanh,sgd,25,0.8517726355486455
1_ef_b.csv,"[15, 15, 15, 15]",0.1,tanh,sgd,50,0.8561320365246804
1_ef_b.csv,"[15, 15, 15, 15]",0.1,tanh,rmsprop,10,0.8636058882844578
1_ef_b.csv,"[15, 15, 15, 15]",0.1,tanh,rmsprop,25,0.850594215734079
1_ef_b.csv,"[15, 15, 15, 15]",0.1,tanh,rmsprop,50,0.8602956432158269
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,relu,adam,10,0.3849141852770884
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,relu,adam,25,0.5879480531259219
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,relu,adam,50,0.8000879210548734
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,relu,sgd,10,0.26974358974358975
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,relu,sgd,25,0.3302083333333333
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,relu,sgd,50,0.26871794871794874
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,relu,rmsprop,10,0.8517058063843759
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,relu,rmsprop,25,0.8607211408578632
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,relu,rmsprop,50,0.8577905530984132
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,tanh,adam,10,0.5886711199016891
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,tanh,adam,25,0.813177997949165
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,tanh,adam,50,0.8591120022953438
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,tanh,sgd,10,0.3969070512820513
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,tanh,sgd,25,0.17158268181975078
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,tanh,sgd,50,0.2010096153846154
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,tanh,rmsprop,10,0.8544891102192471
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,tanh,rmsprop,25,0.85926603667916
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.001,tanh,rmsprop,50,0.8589559591597802
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,relu,adam,10,0.8483055514217943
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,relu,adam,25,0.8605983179443426
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,relu,adam,50,0.8561759989250447
